brand,name,weight,price
PARK STREET DELI,"Roasted Red Pepper Topped Hummus, 10 oz",10 oz,$2.85
PARK STREET DELI,"Spicy Hummus, 10 oz",10 oz,$2.85
PARK STREET DELI,"Olive Tapenade Hummus, 10 oz",10 oz,$2.85
PARK STREET DELI,"Spinach Parmesan Tzatziki Dip, 10 oz",10 oz,$3.29
PARK STREET DELI,"Cucumber Dill Tzatziki Dip, 10 oz",10 oz,$3.29
PARK STREET DELI,"Classic Hummus Single Serve Mini Cups, 6 pack",12 oz,$4.95
PARKVIEW,"Uncured Beef Franks, 15 oz",15 oz,$4.19
PARK STREET DELI,"Classic Single Guacamole - 6 Mini Cups, 12 oz",12 oz,$4.59
PARK STREET DELI,"Red Pepper Hummus Single Serve Mini Cups, 6 count",12 oz,$4.95
PARK STREET DELI,"Cranberry Almond Chicken Salad Mini Cups, 4 pack",12 oz,$5.49
PARK STREET DELI,"Cranberry Almond Chicken Salad, 16 oz",16 oz,$6.05
PARK STREET DELI,"Jubilee Assortment Olives, 7 oz",7 oz,$3.09
LUNCH MATE,"Family Size Smoked Ham, 16 oz",16 oz,$5.85
LUNCH MATE,"Honey Ham, 16 oz",16 oz,$5.85
LUNCH MATE,"Family Size Roast Beef, 14 oz",14 oz,$5.85
LUNCH MATE,"Family Size Rotisserie Chicken Breast, 1 lb",16 oz,$5.85
LUNCH MATE,"Family Size Lower Sodium Smoked Honey Ham in Lunch Meat Tub, 15 oz",15 oz,$5.85
PRIANO,"Herb Chicken Tortelloni, 20 oz",20 oz,$6.45
PARK STREET DELI,"Classic Chicken Salad, 16 oz",16 oz,$6.05
PARK STREET DELI,"Classic Hummus, 10 oz",10 oz,$2.85
PARK STREET DELI,"Garlic Topped Hummus, 10 oz",10 oz,$2.85
APPLETON FARMS,"Prosciutto, 4 oz",4 oz,$4.39
SIMMS,"Sliced Hard Salami, 16 oz",16 oz,$5.29
SIMPLY NATURE,"Organic Red Pepper Hummus, 8 oz",8 oz,$2.85
SPECIALLY SELECTED,"Cold Smoked Atlantic Salmon, 3 oz",3 oz,$4.29
SIMPLY NATURE,"Organic Classic Hummus, 8 oz",8 oz,$2.85
PRIANO,"Salame Italiano, 3 oz",3 oz,$3.55
APPLETON FARMS,"Original Italian Dry Sliced Salami, 16 oz",16 oz,$9.35
PRIANO,"Classic Five Cheese Ravioli, 9 oz",9 oz,$3.29
PARK STREET DELI,"Black Bean Salad, 10 oz",10 oz,$2.75
APPLETON FARMS,"Spicy Italian Dry Sliced Salami, 16 oz",16 oz,$9.35
APPLETON FARMS,"Fully Cooked Bacon, 2.1 oz",2.1 oz,$4.05
PARKVIEW,"Classic Hot Dogs, 12 oz",12 oz,$0.99
LUNCH MATE,"Roasted Turkey Breast, 14 oz",14 oz,$3.19
PARK STREET DELI,"Spicy Single Guacamole - 6 Mini Cups, 12 oz",12 oz,$4.59
PARK STREET DELI,"Spinach Artichoke Tzatziki Dip, 10 oz",10 oz,$3.29
PARK STREET DELI,"Classic Chicken Salad Mini Cups, 4 pack",12 oz,$5.49
NEVER ANY!,"Hickory Smoked No Sugar Added Uncured Bacon, 12 oz",12 oz,$5.29
LUNCH MATE,"Honey Smoked Turkey Breast, 9 oz",9 oz,$3.75
MAMA COZZI'S PIZZA KITCHEN,"16"" Supreme Deli Pizza, 49.5 oz",49.5 oz,$8.49
LUNCH MATE,"Rotisserie Chicken Breast, 9 oz",9 oz,$3.75
APPLETON FARMS,"Lower Sodium Bacon, 16 oz",16 oz,$4.65
APPLETON FARMS,"Center Cut Bacon, 12 oz",12 oz,$4.95
PARK STREET DELI,"Greek Feta Salad, 7 oz",7 oz,$3.09
PARKVIEW,"Chicago Style Beef Franks, 12 oz",12 oz,$6.59
LUNCH MATE,"Oven Roasted Turkey Breast, 9 oz",9 oz,$3.75
LUNCH MATE,"Uncured Honey Ham, 9 oz",9 oz,$3.75
LUNCH MATE,"Uncured Smoked Ham, 9 oz",9 oz,$3.75
LUNCH MATE,"Mesquite Smoked Turkey Breast, 9 oz",9 oz,$3.75
MAMA COZZI'S PIZZA KITCHEN,"Sliced Pepperoni, 6 oz",6 oz,$2.99
LUNCH MATE,"Family Size Low Sodium Oven Roasted Turkey, 15 oz",15 oz,$5.85
