brand,name,weight,latest_date,latest_price,median_price_30d,pct_diff_vs_30d_median,direction,reason
CHEF'S CUPBOARD,"3 Bean Chili Soup Mix, 8.8 oz",8.8 oz,2026-03-25,1.35,2.35,-42.55,lower_vs_30d_median,model_30d_unique|median_diff_30pct
CHEF'S CUPBOARD,"Cheddar Broccoli Soup Mix, 11.2 oz",10.6 oz,2026-03-25,1.35,2.35,-42.55,lower_vs_30d_median,model_30d_unique|median_diff_30pct
CHEF'S CUPBOARD,"Chicken Noodle Soup Mix, 8.4 oz",8.4 oz,2026-03-25,1.35,2.35,-42.55,lower_vs_30d_median,model_30d_unique|median_diff_30pct
CHEF'S CUPBOARD,"Rich & Creamy Potato Soup Mix, 11 oz",10.5 oz,2026-03-25,1.35,2.35,-42.55,lower_vs_30d_median,model_30d_unique|median_diff_30pct
(no brand),"Mandarin Oranges, 3 lb",3 lb,2026-03-25,2.89,3.19,-9.4,lower_vs_30d_median,model_30d_unique
(no brand),"Yellow Onions, 3 lb",3 lb,2026-03-25,1.99,2.09,-4.78,lower_vs_30d_median,model_30d_unique
(no brand),"Yellow Potatoes, 5 lb",5 lb,2026-03-25,3.79,4.19,-9.55,lower_vs_30d_median,model_30d_unique
