brand,name,weight,price
BOULDER,"Heavy Duty Coated Paper Plate, 70 count",70 ct,$3.75
KIRKWOOD,"Cracked Pepper Turkey Breast Tenderloins, 24 oz",24 oz,$7.69
BURMAN'S,"Texas Style BBQ Sauce, 19 oz",19 oz,$3.19
BURMAN'S,"Hickory BBQ Sauce, 18 oz",18 oz,$1.89
PARKVIEW,"Classic Hot Dogs, 12 oz",12 oz,$0.99
HAPPY FARMS,"Deli Sliced Medium Cheddar Cheese, 8 oz",8 oz,$1.75
KIRKWOOD,"Turkey Jalapeño Smoked Sausages, 13.5 oz",13.5 oz,$3.75
PURAQUA,"Key Lime Sparkling Flavored Water, 33.8 fl oz",33.8 fl oz,$0.79
FREMONT FISH MARKET,"Medium EZ Peel Raw Shrimp, 12 oz",12 oz,$6.79
CLANCY'S,"Everything Pretzel Slims, 8 oz",8 oz,$2.19
,"Original Bratwurst Party Pack, 12 count",45.6 oz,$7.69
NEVER ANY!,"Tomato Basil Chicken Sausage, 4 count",12 oz,$3.19
MAMA COZZI'S PIZZA KITCHEN,"Sliced Pepperoni, 6 oz",6 oz,$2.99
EMPORIUM SELECTION,"Garlic and Herb Goat Cheese Log, 4 oz",4 oz,$1.99
STONEMILL,"Pure Vanilla Extract, 2 fl oz",2 fl oz,$5.49
CLANCY'S,"Pretzel Sticks, 1 lb",16 oz,$2.19
CHEESE CLUB,"Shells and Cheese, 12 oz",12 oz,$1.55
CASA MAMITA,"Canned Diced Tomatoes with Green Chilies, 10 oz",10 oz,$1.05
SEASON'S CHOICE,"Seasoned French Fries, 32 oz",32 oz,$3.19
L'OVEN FRESH,"Pre Sliced Hamburger Buns, 8 count",12 oz,$1.55
CLANCY'S,"Big Dipper Tortilla Chips, 10 oz",10 oz,$1.65
HAPPY FARMS,"Deli Sliced Mild Cheddar Cheese, 8 oz",8 oz,$1.75
GREAT GHERKINS,"Hamburger Dill Pickle Chips, 32 fl oz",32 fl oz,$2.59
,"Grass Fed Beef Patties, 1 lb",1 lb.,$5.49
,"Black Angus Beef Seasoned Tavern Patties, per lb",1.33 lb,$9.30
,"Salmon with Mediterranean Herb, per lb",1 lb,$11.29
,"Sweet Chili Lime Chicken Skewers, 22.57 oz",22.57 oz,$7.99
SIMPLY NATURE,"Organic Chicken Breasts, per lb",1 lb,$4.99
SIMPLY NATURE,"Organic Thin Sliced Chicken Breast Fillets, per lb",1.25 lb,$7.49
SIMPLY NATURE,"Organic Grass Fed 85% Lean Ground Beef, 1 lb",1 lb,$5.49
,"Black Angus Beef Choice Boneless Top Sirloin Steak, per lb",1.4 lb,$15.39
CLANCY'S,"Original Kettle Chips, 8 oz",8 oz,$1.65
SPECIALLY SELECTED,"Roasted Garlic Balsamic Vinaigrette Dressing, 12 fl oz",12 fl oz,$2.19
PARK STREET DELI,"Roasted Red Pepper Topped Hummus, 10 oz",10 oz,$2.85
L'OVEN FRESH,"Pre Sliced Hot Dog Buns, 8 count",12 oz,$1.55
PARKVIEW,"Uncured Beef Franks, 15 oz",15 oz,$4.19
BAKE SHOP,"Chocolate Chunk Cookies, 14 oz",14 oz,$4.29
BOULDER,"Regular Aluminum Foil, 75 feet",75 ft,$4.69
PARK STREET DELI,"Cranberry Almond Chicken Salad, 16 oz",16 oz,$6.05
PARK STREET DELI,"Mild Fresh Cut Salsa, 16 oz",16 oz,$2.75
PARK STREET DELI,"Medium Fresh Cut Salsa, 16 oz",16 oz,$2.75
CLANCY'S,"Pretzel Mini Twists, 1 lb",16 oz,$2.19
CLANCY'S,"Mesquite Barbecue Kettle Chips, 8 oz",8 oz,$1.65
CLANCY'S,"Jalapeño Kettle Chips, 8 oz",8 oz,$1.65
CLANCY'S,"Sea Salt and Vinegar Kettle Chips, 8 oz",8 oz,$1.65
NEVER ANY!,"Apple Chicken Sausage, 4 count",12 oz,$3.19
BAKER'S CORNER,"Marshmallows, 10 oz",10 oz,$1.09
PARK STREET DELI,"Classic Chicken Salad, 16 oz",16 oz,$6.05
PARK STREET DELI,"Classic Hummus, 10 oz",10 oz,$2.85
PARK STREET DELI,"Garlic Topped Hummus, 10 oz",10 oz,$2.85
CLANCY'S,"Wavy Potato Chips, 10 oz",10 oz,$1.75
BURMAN'S,"Tomato Ketchup, 38 oz",38 oz,$2.09
BURMAN'S,"Kansas City Style BBQ Sauce, 19 oz",19 oz,$3.19
SIMPLY NATURE,"Organic Lemonade, 64 fl oz",64 fl oz,$1.99
BURMAN'S,"Carolina Style BBQ Sauce, 19 oz",19 oz,$3.19
BURMAN'S,"Memphis Style BBQ Sauce, 19 oz",19 oz,$3.19
SPECIALLY SELECTED,"Brioche Hot Dog Buns, 9.52 oz",9.52 oz,$3.65
LITTLE SALAD BAR,"Flat Leaf Spinach, 8 oz",8 oz,$1.65
LITTLE SALAD BAR,"Classic Coleslaw, 14 oz",14 oz,$1.65
SUNDAE SHOPPE,"Vanilla Ice Cream, 1 gal",128 fl oz,$7.15
BOULDER,"Heavy Duty Coated Paper Plate, 70 count",70 ct,$3.75
KIRKWOOD,"Cracked Pepper Turkey Breast Tenderloins, 24 oz",24 oz,$7.69
BURMAN'S,"Texas Style BBQ Sauce, 19 oz",19 oz,$3.19
BURMAN'S,"Hickory BBQ Sauce, 18 oz",18 oz,$1.89
PARKVIEW,"Classic Hot Dogs, 12 oz",12 oz,$0.99
HAPPY FARMS,"Deli Sliced Medium Cheddar Cheese, 8 oz",8 oz,$1.75
KIRKWOOD,"Turkey Jalapeño Smoked Sausages, 13.5 oz",13.5 oz,$3.75
PURAQUA,"Key Lime Sparkling Flavored Water, 33.8 fl oz",33.8 fl oz,$0.79
FREMONT FISH MARKET,"Medium EZ Peel Raw Shrimp, 12 oz",12 oz,$6.79
CLANCY'S,"Everything Pretzel Slims, 8 oz",8 oz,$2.19
,"Original Bratwurst Party Pack, 12 count",45.6 oz,$7.69
NEVER ANY!,"Tomato Basil Chicken Sausage, 4 count",12 oz,$3.19
MAMA COZZI'S PIZZA KITCHEN,"Sliced Pepperoni, 6 oz",6 oz,$2.99
EMPORIUM SELECTION,"Garlic and Herb Goat Cheese Log, 4 oz",4 oz,$1.99
STONEMILL,"Pure Vanilla Extract, 2 fl oz",2 fl oz,$5.49
CLANCY'S,"Pretzel Sticks, 1 lb",16 oz,$2.19
CHEESE CLUB,"Shells and Cheese, 12 oz",12 oz,$1.55
CASA MAMITA,"Canned Diced Tomatoes with Green Chilies, 10 oz",10 oz,$1.05
SEASON'S CHOICE,"Seasoned French Fries, 32 oz",32 oz,$3.19
L'OVEN FRESH,"Pre Sliced Hamburger Buns, 8 count",12 oz,$1.55
CLANCY'S,"Big Dipper Tortilla Chips, 10 oz",10 oz,$1.65
HAPPY FARMS,"Deli Sliced Mild Cheddar Cheese, 8 oz",8 oz,$1.75
GREAT GHERKINS,"Hamburger Dill Pickle Chips, 32 fl oz",32 fl oz,$2.59
,"Grass Fed Beef Patties, 1 lb",1 lb.,$5.49
,"Black Angus Beef Seasoned Tavern Patties, per lb",1.33 lb,$9.30
,"Salmon with Mediterranean Herb, per lb",1 lb,$11.29
,"Sweet Chili Lime Chicken Skewers, 22.57 oz",22.57 oz,$7.99
SIMPLY NATURE,"Organic Chicken Breasts, per lb",1 lb,$4.99
SIMPLY NATURE,"Organic Thin Sliced Chicken Breast Fillets, per lb",1.25 lb,$7.49
SIMPLY NATURE,"Organic Grass Fed 85% Lean Ground Beef, 1 lb",1 lb,$5.49
,"Black Angus Beef Choice Boneless Top Sirloin Steak, per lb",1.4 lb,$15.39
CLANCY'S,"Original Kettle Chips, 8 oz",8 oz,$1.65
SPECIALLY SELECTED,"Roasted Garlic Balsamic Vinaigrette Dressing, 12 fl oz",12 fl oz,$2.19
PARK STREET DELI,"Roasted Red Pepper Topped Hummus, 10 oz",10 oz,$2.85
L'OVEN FRESH,"Pre Sliced Hot Dog Buns, 8 count",12 oz,$1.55
PARKVIEW,"Uncured Beef Franks, 15 oz",15 oz,$4.19
BAKE SHOP,"Chocolate Chunk Cookies, 14 oz",14 oz,$4.29
BOULDER,"Regular Aluminum Foil, 75 feet",75 ft,$4.69
PARK STREET DELI,"Cranberry Almond Chicken Salad, 16 oz",16 oz,$6.05
PARK STREET DELI,"Mild Fresh Cut Salsa, 16 oz",16 oz,$2.75
PARK STREET DELI,"Medium Fresh Cut Salsa, 16 oz",16 oz,$2.75
CLANCY'S,"Pretzel Mini Twists, 1 lb",16 oz,$2.19
CLANCY'S,"Mesquite Barbecue Kettle Chips, 8 oz",8 oz,$1.65
CLANCY'S,"Jalapeño Kettle Chips, 8 oz",8 oz,$1.65
CLANCY'S,"Sea Salt and Vinegar Kettle Chips, 8 oz",8 oz,$1.65
NEVER ANY!,"Apple Chicken Sausage, 4 count",12 oz,$3.19
BAKER'S CORNER,"Marshmallows, 10 oz",10 oz,$1.09
PARK STREET DELI,"Classic Chicken Salad, 16 oz",16 oz,$6.05
PARK STREET DELI,"Classic Hummus, 10 oz",10 oz,$2.85
PARK STREET DELI,"Garlic Topped Hummus, 10 oz",10 oz,$2.85
CLANCY'S,"Wavy Potato Chips, 10 oz",10 oz,$1.75
BURMAN'S,"Tomato Ketchup, 38 oz",38 oz,$2.09
BURMAN'S,"Kansas City Style BBQ Sauce, 19 oz",19 oz,$3.19
SIMPLY NATURE,"Organic Lemonade, 64 fl oz",64 fl oz,$1.99
BURMAN'S,"Carolina Style BBQ Sauce, 19 oz",19 oz,$3.19
BURMAN'S,"Memphis Style BBQ Sauce, 19 oz",19 oz,$3.19
SPECIALLY SELECTED,"Brioche Hot Dog Buns, 9.52 oz",9.52 oz,$3.65
LITTLE SALAD BAR,"Flat Leaf Spinach, 8 oz",8 oz,$1.65
LITTLE SALAD BAR,"Classic Coleslaw, 14 oz",14 oz,$1.65
SUNDAE SHOPPE,"Vanilla Ice Cream, 1 gal",128 fl oz,$7.15
BOULDER,"Heavy Duty Coated Paper Plate, 70 count",70 ct,$3.75
KIRKWOOD,"Cracked Pepper Turkey Breast Tenderloins, 24 oz",24 oz,$7.69
BURMAN'S,"Texas Style BBQ Sauce, 19 oz",19 oz,$3.19
BURMAN'S,"Hickory BBQ Sauce, 18 oz",18 oz,$1.89
PARKVIEW,"Classic Hot Dogs, 12 oz",12 oz,$0.99
HAPPY FARMS,"Deli Sliced Medium Cheddar Cheese, 8 oz",8 oz,$1.75
KIRKWOOD,"Turkey Jalapeño Smoked Sausages, 13.5 oz",13.5 oz,$3.75
PURAQUA,"Key Lime Sparkling Flavored Water, 33.8 fl oz",33.8 fl oz,$0.79
FREMONT FISH MARKET,"Medium EZ Peel Raw Shrimp, 12 oz",12 oz,$6.79
CLANCY'S,"Everything Pretzel Slims, 8 oz",8 oz,$2.19
,"Original Bratwurst Party Pack, 12 count",45.6 oz,$7.69
NEVER ANY!,"Tomato Basil Chicken Sausage, 4 count",12 oz,$3.19
MAMA COZZI'S PIZZA KITCHEN,"Sliced Pepperoni, 6 oz",6 oz,$2.99
EMPORIUM SELECTION,"Garlic and Herb Goat Cheese Log, 4 oz",4 oz,$1.99
STONEMILL,"Pure Vanilla Extract, 2 fl oz",2 fl oz,$5.49
CLANCY'S,"Pretzel Sticks, 1 lb",16 oz,$2.19
CHEESE CLUB,"Shells and Cheese, 12 oz",12 oz,$1.55
CASA MAMITA,"Canned Diced Tomatoes with Green Chilies, 10 oz",10 oz,$1.05
SEASON'S CHOICE,"Seasoned French Fries, 32 oz",32 oz,$3.19
L'OVEN FRESH,"Pre Sliced Hamburger Buns, 8 count",12 oz,$1.55
CLANCY'S,"Big Dipper Tortilla Chips, 10 oz",10 oz,$1.65
HAPPY FARMS,"Deli Sliced Mild Cheddar Cheese, 8 oz",8 oz,$1.75
GREAT GHERKINS,"Hamburger Dill Pickle Chips, 32 fl oz",32 fl oz,$2.59
,"Grass Fed Beef Patties, 1 lb",1 lb.,$5.49
,"Black Angus Beef Seasoned Tavern Patties, per lb",1.33 lb,$9.30
,"Salmon with Mediterranean Herb, per lb",1 lb,$11.29
,"Sweet Chili Lime Chicken Skewers, 22.57 oz",22.57 oz,$7.99
SIMPLY NATURE,"Organic Chicken Breasts, per lb",1 lb,$4.99
SIMPLY NATURE,"Organic Thin Sliced Chicken Breast Fillets, per lb",1.25 lb,$7.49
SIMPLY NATURE,"Organic Grass Fed 85% Lean Ground Beef, 1 lb",1 lb,$5.49
,"Black Angus Beef Choice Boneless Top Sirloin Steak, per lb",1.4 lb,$15.39
CLANCY'S,"Original Kettle Chips, 8 oz",8 oz,$1.65
SPECIALLY SELECTED,"Roasted Garlic Balsamic Vinaigrette Dressing, 12 fl oz",12 fl oz,$2.19
PARK STREET DELI,"Roasted Red Pepper Topped Hummus, 10 oz",10 oz,$2.85
L'OVEN FRESH,"Pre Sliced Hot Dog Buns, 8 count",12 oz,$1.55
PARKVIEW,"Uncured Beef Franks, 15 oz",15 oz,$4.19
BAKE SHOP,"Chocolate Chunk Cookies, 14 oz",14 oz,$4.29
BOULDER,"Regular Aluminum Foil, 75 feet",75 ft,$4.69
PARK STREET DELI,"Cranberry Almond Chicken Salad, 16 oz",16 oz,$6.05
PARK STREET DELI,"Mild Fresh Cut Salsa, 16 oz",16 oz,$2.75
PARK STREET DELI,"Medium Fresh Cut Salsa, 16 oz",16 oz,$2.75
CLANCY'S,"Pretzel Mini Twists, 1 lb",16 oz,$2.19
CLANCY'S,"Mesquite Barbecue Kettle Chips, 8 oz",8 oz,$1.65
CLANCY'S,"Jalapeño Kettle Chips, 8 oz",8 oz,$1.65
CLANCY'S,"Sea Salt and Vinegar Kettle Chips, 8 oz",8 oz,$1.65
NEVER ANY!,"Apple Chicken Sausage, 4 count",12 oz,$3.19
BAKER'S CORNER,"Marshmallows, 10 oz",10 oz,$1.09
PARK STREET DELI,"Classic Chicken Salad, 16 oz",16 oz,$6.05
PARK STREET DELI,"Classic Hummus, 10 oz",10 oz,$2.85
PARK STREET DELI,"Garlic Topped Hummus, 10 oz",10 oz,$2.85
CLANCY'S,"Wavy Potato Chips, 10 oz",10 oz,$1.75
BURMAN'S,"Tomato Ketchup, 38 oz",38 oz,$2.09
BURMAN'S,"Kansas City Style BBQ Sauce, 19 oz",19 oz,$3.19
SIMPLY NATURE,"Organic Lemonade, 64 fl oz",64 fl oz,$1.99
BURMAN'S,"Carolina Style BBQ Sauce, 19 oz",19 oz,$3.19
BURMAN'S,"Memphis Style BBQ Sauce, 19 oz",19 oz,$3.19
SPECIALLY SELECTED,"Brioche Hot Dog Buns, 9.52 oz",9.52 oz,$3.65
LITTLE SALAD BAR,"Flat Leaf Spinach, 8 oz",8 oz,$1.65
LITTLE SALAD BAR,"Classic Coleslaw, 14 oz",14 oz,$1.65
SUNDAE SHOPPE,"Vanilla Ice Cream, 1 gal",128 fl oz,$7.15
BOULDER,"Heavy Duty Coated Paper Plate, 70 count",70 ct,$3.75
KIRKWOOD,"Cracked Pepper Turkey Breast Tenderloins, 24 oz",24 oz,$7.69
