brand,name,weight,price,Total Calories,Total Protein (g),Total Weight (g)
SIMPLY NATURE,"Organic Pumpkin Seed & Flax Granola Cereal, 11.5 oz",11.5 oz,$2.65,1363.354339375,29.638137812500002,326.01951593750005
MILLVILLE,"Honey Crunch 'n Oats with Almonds Cereal, 18 oz",,$2.95,0.0,0.0,0.0
MILLVILLE,"Crispy Oats Cereal, 12 oz",12 oz,$1.85,1327.5874243902442,41.48710701219513,340.19427750000006
MILLVILLE,"Traditional Steel Cut Oats Canister, 30 oz",30 oz,$3.09,3189.3213515625007,106.31071171875001,850.4856937500001
MILLVILLE,"Chocolate Puffs, 11.8 oz",11.8 oz,$2.15,1672.6218643750003,55.754062145833345,334.5243728750001
MILLVILLE,"Cherry Fruit and Grain Cereal Bars, 8 count",8 ct,$2.45,6.054054054054054,0.08648648648648649,1.6
MILLVILLE,"Bran Flakes, 18 oz",18 oz,$2.99,1559.2237718750002,56.69904625000001,510.2914162500001
MILLVILLE,"Family Size Frosted Flakes, 26.8 oz",26.8 oz,$3.85,2659.185269125,37.9883609875,759.7672197500001
SIMPLY NATURE,"Organic Coconut Chia Granola Cereal, 12.3 oz",12.3 oz,$2.65,1584.9960656250003,31.699921312500003,348.69913443750005
MILLVILLE,"Whole Grain Oats, Almonds and Honey Crunchy Granola, 14 oz",14 oz,$2.55,1659.7357175000002,43.2974535,396.89332375000004
MILLVILLE,"Peanut Sweet and Salty Nut Granola Bars, 6 count",6 ct,$2.39,5.485714285714286,0.13714285714285715,1.2000000000000002
MILLVILLE,"Maple and Brown Sugar Instant Oatmeal, 10 count",15.1 oz,$2.05,1692.4006014389536,39.82119062209303,428.07779918750003
MILLVILLE,"Quick Cook Steel Cut Oats Canister, 25 oz",25 oz,$3.09,2657.7677929687507,88.59225976562502,708.7380781250001
MILLVILLE,"Almond Sweet and Salty Nut Granola Bars, 6 count",6 ct,$2.39,5.485714285714286,0.10285714285714287,1.2000000000000002
ELEVATION,"Apple Pie Pure and Simple Fruit and Nut Bars, 5 count",5 ct,$5.05,4.444444444444445,0.08888888888888889,1.0
MILLVILLE,"Strawberry Fruit & Grain Cereal Bars, 8 count",8 ct,$2.45,5.621621621621622,0.043243243243243246,1.6
FIT & ACTIVE,"Vitality Cereal with Red Berries, 11.2 oz",11.2 oz,$2.99,1126.6649190322582,20.48481670967742,317.51465900000005
MILLVILLE,"Fruit Rounds Cereal, 12.2 oz",12.2 oz,$1.85,1311.8986218534485,23.852702215517244,345.864182125
MILLVILLE,"Oats 'n Honey Protein Crunchy Granola, 11 oz",11 oz,$2.75,1190.67997125,56.69904625000001,311.84475437500004
MILLVILLE,"Fruit and Nut Trail Mix Chewy Granola Bars, 6 count",,$1.99,0.0,0.0,0.0
MILLVILLE,"Peanut Butter Crunchy Granola Bar 2 packs, 6 count",6 ct,$2.49,5.142857142857143,0.14285714285714288,1.2000000000000002
ELEVATION,"Peanut Butter Cookie Pure and Simple Fruit and Nut Bars, 5 count",5 ct,$5.05,4.375,0.14583333333333331,1.0
MILLVILLE,"Corn Flakes Cereal, 18 oz",18 oz,$2.45,1822.4693437500005,36.44938687500001,510.2914162500001
SIMPLY NATURE,"Organic Oats & Honey Granola, 12 oz",12 oz,$4.29,1422.6306150000003,30.926752500000006,340.19427750000006
SIMPLY NATURE,"Organic Cinnamon Raisin Granola, 12 oz",12 oz,$4.29,1360.7771100000002,30.926752500000006,340.19427750000006
MILLVILLE,"Oats 'n Dark Chocolate Protein Crunchy Granola, 11 oz",11 oz,$2.75,1247.3790175000001,56.69904625000001,311.84475437500004
MILLVILLE,"Cranberries and Almonds Protein Crunchy Granola, 11 oz",11 oz,$2.75,1247.3790175000001,56.69904625000001,311.84475437500004
MILLVILLE,"Peanut Butter Chewy Dipped Granola Bars, 6 count",6 ct,$2.09,5.600000000000001,0.08000000000000002,1.2000000000000002
MILLVILLE,"Raspberry Fruit and Grain Cereal Bars, 8 count",8 ct,$2.45,5.621621621621622,0.08648648648648649,1.6
SIMPLY NATURE,"Organic Apple Cinnamon Instant Oatmeal Packets, 8 count",11.29 oz,$2.75,1200.2479353046874,32.006611608125,320.06611608125
MILLVILLE,"Honey Crunch 'n Oats Original Cereal, 18 oz",,$2.95,0.0,0.0,0.0
MILLVILLE,"Marshmallow and Stars Cereal, 11.5 oz",11.5 oz,$2.15,1267.8536730902779,18.112195329861112,326.01951593750005
MILLVILLE,"Variety Pack Instant Oatmeal, 10 count",13.7 oz,$2.05,268.88432317788465,17.92562154519231,388.38846681250004
MILLVILLE,"Mixed Berry Fruit and Grain Cereal Bars, 8 count",8 ct,$2.45,6.054054054054054,0.08648648648648649,1.6
MILLVILLE,"Old Fashioned Rolled Oats, 42 oz",42 oz,$4.39,4465.0498921875005,148.83499640625,1190.67997125
MILLVILLE,"Frosted Bite Size Shredded Wheat, 18 oz",18 oz,$2.35,1786.0199568750004,42.52428468750001,510.2914162500001
MILLVILLE,"Blueberry Frosted Shredded Wheat Cereal, 16 oz",16 oz,$2.35,1566.9554600000001,41.235670000000006,453.5923700000001
MILLVILLE,"Crunchy Granola Raisin Bran Crunch, 18.2 oz",18.2 oz,$2.99,1849.6726597405661,38.940477047169814,515.9613208750001
MILLVILLE,"Kookies Cereal, 11.25 oz",11.25 oz,$2.15,,,
MILLVILLE,"Cocoa Peanut Butter Puffs Cereal, 13 oz",13 oz,$2.15,1566.3111526562502,27.640785046875003,368.5438006250001
KELLOGG'S,"Frosted Brown Sugar Cinnamon Pop Tarts Toaster Pastries, 12 count",12 ct,$4.35,10.080000000000002,0.09600000000000002,2.4000000000000004
MILLVILLE,"Apple Cinnamon Fruit and Grain Cereal Bars, 8 count",8 ct,$2.45,5.621621621621622,0.043243243243243246,1.6
MILLVILLE,"Honey Wheat Puffs Cereal, 15.3 oz",15.3 oz,$2.19,1767.1202747916673,32.12945954166668,433.7477038125001
MILLVILLE,"Chocolate Fudge Toaster Tarts, 12 count",12 ct,$2.45,9.230769230769234,0.1384615384615385,2.4000000000000004
MILLVILLE,"Berry Kids Krunch Cereal, 13 oz",13 oz,$2.99,1433.2258913194446,10.23732779513889,368.5438006250001
BENTON'S,"Cinnamon Breakfast Biscuits, 8.8 oz",8.8 oz,$2.85,1147.5886961000003,19.958064280000006,249.47580350000007
ELEVATION,"Caramel Double Chocolate Crunch Advance Snack Bars, 5 count",5 ct,$5.95,3.409090909090909,0.2272727272727273,1.0
MILLVILLE,"Strawberry Frosted Shredded Wheat Cereal, 16.3 oz",16.3 oz,$2.35,1617.3402942812502,38.50810224479167,462.09722693750007
SIMPLY NATURE,"Dark Chocolate Sea Salt Super Foods Gluten Free Granola, 11 oz",11 oz,$3.95,1351.3272689583334,31.1844754375,311.84475437500004
MILLVILLE,"Cinnamon Granola Crunch, 16 oz",16 oz,$4.09,2015.9660888888893,33.59943481481482,453.5923700000001
MILLVILLE,"Oats and Honey Granola Crunch, 16 oz",16 oz,$4.09,2015.9660888888893,33.59943481481482,453.5923700000001
MILLVILLE,"Variety Pack Chewy Granola Bars, 10 count",10 ct,$2.09,8.333333333333332,0.08333333333333333,2.0
BENTON'S,"Blueberry Breakfast Biscuits, 8.8 oz",8.8 oz,$2.85,1147.5886961000003,19.958064280000006,249.47580350000007
MILLVILLE,"Crispy Rice Cereal, 12 oz",12 oz,$2.15,1327.5874243902442,24.892264207317076,340.19427750000006
MILLVILLE,"Honey Graham Squares, 12 oz",12 oz,$2.49,1376.9768375,16.1997275,340.19427750000006
FIT & ACTIVE,"Vitality Cereal Vanilla Almond, 12.4 oz",12.4 oz,$2.99,1288.9583180833338,23.43560578333334,351.5340867500001
ELEVATION,"Double Chocolate Protein Meal Bars, 6 count",6 ct,$5.85,4.533333333333334,0.32000000000000006,1.2000000000000002
SIMPLY NATURE,"Organic Oats and Flax Instant Oatmeal Packets, 8 count",11.29 oz,$2.75,1200.2479353046874,32.006611608125,320.06611608125
MILLVILLE,"Quick Oats, 42 oz",42 oz,$4.39,4465.0498921875005,148.83499640625,1190.67997125
ELEVATION,"Strawberry Protein Meal Bar, 6 count",6 ct,$5.85,4.533333333333334,0.32000000000000006,1.2000000000000002
SIMPLY NATURE,"Organic Pumpkin Seed & Flax Granola Cereal, 11.5 oz",11.5 oz,$2.65,1363.354339375,29.638137812500002,326.01951593750005
MILLVILLE,"Honey Crunch 'n Oats with Almonds Cereal, 18 oz",,$2.95,0.0,0.0,0.0
MILLVILLE,"Crispy Oats Cereal, 12 oz",12 oz,$1.85,1327.5874243902442,41.48710701219513,340.19427750000006
MILLVILLE,"Traditional Steel Cut Oats Canister, 30 oz",30 oz,$3.09,3189.3213515625007,106.31071171875001,850.4856937500001
MILLVILLE,"Chocolate Puffs, 11.8 oz",11.8 oz,$2.15,1672.6218643750003,55.754062145833345,334.5243728750001
MILLVILLE,"Cherry Fruit and Grain Cereal Bars, 8 count",8 ct,$2.45,6.054054054054054,0.08648648648648649,1.6
MILLVILLE,"Bran Flakes, 18 oz",18 oz,$2.99,1559.2237718750002,56.69904625000001,510.2914162500001
MILLVILLE,"Family Size Frosted Flakes, 26.8 oz",26.8 oz,$3.85,2659.185269125,37.9883609875,759.7672197500001
SIMPLY NATURE,"Organic Coconut Chia Granola Cereal, 12.3 oz",12.3 oz,$2.65,1458.1963803750002,31.699921312500003,348.69913443750005
MILLVILLE,"Whole Grain Oats, Almonds and Honey Crunchy Granola, 14 oz",14 oz,$2.55,1659.7357175000002,43.2974535,396.89332375000004
MILLVILLE,"Peanut Sweet and Salty Nut Granola Bars, 6 count",6 ct,$2.39,5.485714285714286,0.13714285714285715,1.2000000000000002
MILLVILLE,"Maple and Brown Sugar Instant Oatmeal, 10 count",15.1 oz,$2.05,1692.4006014389536,39.82119062209303,428.07779918750003
MILLVILLE,"Quick Cook Steel Cut Oats Canister, 25 oz",25 oz,$3.09,2657.7677929687507,88.59225976562502,708.7380781250001
MILLVILLE,"Almond Sweet and Salty Nut Granola Bars, 6 count",6 ct,$2.39,5.485714285714286,0.10285714285714287,1.2000000000000002
ELEVATION,"Apple Pie Pure and Simple Fruit and Nut Bars, 5 count",5 ct,$5.05,4.444444444444445,0.08888888888888889,1.0
MILLVILLE,"Strawberry Fruit & Grain Cereal Bars, 8 count",8 ct,$2.45,5.621621621621622,0.043243243243243246,1.6
FIT & ACTIVE,"Vitality Cereal with Red Berries, 11.2 oz",11.2 oz,$2.99,1126.6649190322582,20.48481670967742,317.51465900000005
MILLVILLE,"Fruit Rounds Cereal, 12.2 oz",12.2 oz,$1.85,1311.8986218534485,23.852702215517244,345.864182125
MILLVILLE,"Oats 'n Honey Protein Crunchy Granola, 11 oz",11 oz,$2.75,1190.67997125,56.69904625000001,311.84475437500004
MILLVILLE,"Fruit and Nut Trail Mix Chewy Granola Bars, 6 count",,$1.99,0.0,0.0,0.0
MILLVILLE,"Peanut Butter Crunchy Granola Bar 2 packs, 6 count",6 ct,$2.49,5.142857142857143,0.14285714285714288,1.2000000000000002
ELEVATION,"Peanut Butter Cookie Pure and Simple Fruit and Nut Bars, 5 count",5 ct,$5.05,4.375,0.14583333333333331,1.0
MILLVILLE,"Corn Flakes Cereal, 18 oz",18 oz,$2.45,1822.4693437500005,36.44938687500001,510.2914162500001
SIMPLY NATURE,"Organic Oats & Honey Granola, 12 oz",12 oz,$4.29,1422.6306150000003,30.926752500000006,340.19427750000006
SIMPLY NATURE,"Organic Cinnamon Raisin Granola, 12 oz",12 oz,$4.29,1360.7771100000002,30.926752500000006,340.19427750000006
MILLVILLE,"Oats 'n Dark Chocolate Protein Crunchy Granola, 11 oz",11 oz,$2.75,1247.3790175000001,56.69904625000001,311.84475437500004
MILLVILLE,"Cranberries and Almonds Protein Crunchy Granola, 11 oz",11 oz,$2.75,1247.3790175000001,56.69904625000001,311.84475437500004
MILLVILLE,"Peanut Butter Chewy Dipped Granola Bars, 6 count",6 ct,$2.09,5.600000000000001,0.08000000000000002,1.2000000000000002
MILLVILLE,"Raspberry Fruit and Grain Cereal Bars, 8 count",8 ct,$2.45,5.621621621621622,0.08648648648648649,1.6
SIMPLY NATURE,"Organic Apple Cinnamon Instant Oatmeal Packets, 8 count",11.29 oz,$2.75,1200.2479353046874,32.006611608125,320.06611608125
MILLVILLE,"Honey Crunch 'n Oats Original Cereal, 18 oz",,$2.95,0.0,0.0,0.0
MILLVILLE,"Marshmallow and Stars Cereal, 11.5 oz",11.5 oz,$2.15,1267.8536730902779,18.112195329861112,326.01951593750005
MILLVILLE,"Variety Pack Instant Oatmeal, 10 count",13.7 oz,$2.05,1370.7828240441177,45.69276080147059,388.38846681250004
MILLVILLE,"Mixed Berry Fruit and Grain Cereal Bars, 8 count",8 ct,$2.45,6.054054054054054,0.08648648648648649,1.6
MILLVILLE,"Old Fashioned Rolled Oats, 42 oz",42 oz,$4.39,4465.0498921875005,148.83499640625,1190.67997125
MILLVILLE,"Frosted Bite Size Shredded Wheat, 18 oz",18 oz,$2.35,1786.0199568750004,42.52428468750001,510.2914162500001
MILLVILLE,"Blueberry Frosted Shredded Wheat Cereal, 16 oz",16 oz,$2.35,1566.9554600000001,41.235670000000006,453.5923700000001
MILLVILLE,"Crunchy Granola Raisin Bran Crunch, 18.2 oz",18.2 oz,$2.99,1849.6726597405661,38.940477047169814,515.9613208750001
MILLVILLE,"Kookies Cereal, 11.25 oz",11.25 oz,$2.15,,,
MILLVILLE,"Cocoa Peanut Butter Puffs Cereal, 13 oz",13 oz,$2.15,1566.3111526562502,27.640785046875003,368.5438006250001
KELLOGG'S,"Frosted Brown Sugar Cinnamon Pop Tarts Toaster Pastries, 12 count",12 ct,$4.35,10.080000000000002,0.09600000000000002,2.4000000000000004
MILLVILLE,"Apple Cinnamon Fruit and Grain Cereal Bars, 8 count",8 ct,$2.45,5.621621621621622,0.043243243243243246,1.6
MILLVILLE,"Honey Wheat Puffs Cereal, 15.3 oz",15.3 oz,$2.19,1767.1202747916673,32.12945954166668,433.7477038125001
MILLVILLE,"Chocolate Fudge Toaster Tarts, 12 count",12 ct,$2.45,9.230769230769234,0.1384615384615385,2.4000000000000004
MILLVILLE,"Berry Kids Krunch Cereal, 13 oz",13 oz,$2.99,1433.2258913194446,10.23732779513889,368.5438006250001
BENTON'S,"Cinnamon Breakfast Biscuits, 8.8 oz",8.8 oz,$2.85,1147.5886961000003,19.958064280000006,249.47580350000007
ELEVATION,"Caramel Double Chocolate Crunch Advance Snack Bars, 5 count",5 ct,$5.95,3.409090909090909,0.2272727272727273,1.0
MILLVILLE,"Strawberry Frosted Shredded Wheat Cereal, 16.3 oz",16.3 oz,$2.35,1617.3402942812502,38.50810224479167,462.09722693750007
SIMPLY NATURE,"Dark Chocolate Sea Salt Super Foods Gluten Free Granola, 11 oz",11 oz,$3.95,1351.3272689583334,31.1844754375,311.84475437500004
MILLVILLE,"Cinnamon Granola Crunch, 16 oz",16 oz,$4.09,2015.9660888888893,33.59943481481482,453.5923700000001
MILLVILLE,"Oats and Honey Granola Crunch, 16 oz",16 oz,$4.09,2015.9660888888893,33.59943481481482,453.5923700000001
MILLVILLE,"Variety Pack Chewy Granola Bars, 10 count",10 ct,$2.09,8.333333333333332,0.08333333333333333,2.0
