brand,name,weight,price
FRIENDLY FARMS,"Plain Whole Milk Greek Yogurt, 32 oz",32 oz,$4.15
FRIENDLY FARMS,"Nonfat Plain Greek Yogurt, 32 oz",32 oz,$3.55
FRIENDLY FARMS,"Nonfat Strawberry on the Bottom Greek Yogurt, 5.3 oz",5.3 oz,$2.85
FRIENDLY FARMS,"Nonfat Black Cherry on the Bottom Greek Yogurt, 5.3 oz",5.3 oz,$2.85
FRIENDLY FARMS,"Nonfat Raspberry on the Bottom Greek Yogurt, 5.3 oz",5.3 oz,$2.85
FRIENDLY FARMS,"Nonfat Blueberry on the Bottom Greek Yogurt, 5.3 oz",5.3 oz,$2.85
FRIENDLY FARMS,"Nonfat Vanilla Yogurt, 32 oz",32 oz,$2.85
FRIENDLY FARMS,"Low-fat Strawberry Yogurt, 6 oz",6 oz,$0.65
FRIENDLY FARMS,"Nonfat Plain Yogurt, 32 oz",32 oz,$2.85
SIMPLY NATURE,"Organic Salted Butter, 16 oz",16 oz,$6.85
EMPORIUM SELECTION,"Asiago Cheese Wedge, 8 oz",8 oz,$4.85
EMPORIUM SELECTION,"Traditional Feta Cheese Block, 8 oz",8 oz,$3.65
EMPORIUM SELECTION,"Specialty Shredded Gouda Cheese, 8 oz",8 oz,$2.99
SIMPLY NATURE,"Organic Whole Milk, 64 fl oz",64 fl oz,$4.29
EMPORIUM SELECTION,"Fresh Mozzarella Pre-Sliced Log, 8 oz",8 oz,$2.99
GOLDHEN,"Cage Free Large Eggs - Grade A, 1 dozen",12 ct,$4.29
SIMPLY NATURE,"Organic Original Unsweetened Almondmilk, 64 fl oz",64 fl oz,$3.75
EMPORIUM SELECTION,"Aged Reserve White Cheddar Cheese, 10 oz",10 oz,$2.75
FRIENDLY FARMS,"Lactose Free Fat Free Milk, 64 fl oz",64 fl oz,$3.55
SIMPLY NATURE,"Organic Whole Omega-3 Milk, 64 fl oz",64 fl oz,$4.75
BARISSIMO,"Sugar Free French Vanilla Coffee Creamer, 32 fl oz",32 fl oz,$2.75
BARISSIMO,"Mocha Iced Coffee, 64 fl oz",64 fl oz,$4.09
FRIENDLY FARMS,"Vanilla Almondmilk, 64 fl oz",64 fl oz,$2.45
